id_p,product_serial,designation,product_description,,stock,f_id
1,FBA0001,FOURNITURE ET ACCESSOIRES.,BOITE ATTACHE TRIANGLE CHROMEE 25MM BOSTON,,0,1
2,FBA0002,FOURNITURE ET ACCESSOIRES.,BOITE AGRAFES 24/6 EXPRESS.,,0,1
3,FBA0003,FOURNITURE ET ACCESSOIRES.,AGRAFEUSE A PINCE 24/6 ESSENTIEL REF. 440210.,,0,1
4,FBA0004,FOURNITURE ET ACCESSOIRES.,ARRACHE AGRAFFES DELI 232.,,0,1
5,FBA0005,FOURNITURE ET ACCESSOIRES.,PILE 1.5 V (AA) DURACEL . ,,0,1
6,FBA0006,FOURNITURE ET ACCESSOIRES.,PILE 1.5V (AAA) DURACEL.,,0,1
7,FBA0007,FOURNITURE ET ACCESSOIRES.,CISEAUX ESSENTIALS GREEN 17 CM SYMETRIQUES REF 468010 MAPED.,,0,1
8,FBA0008,FOURNITURE ET ACCESSOIRES.,BOITE ARCHIVE EN PLASTIQUE 8 CM.,,0,1
9,FBA0009,FOURNITURE ET ACCESSOIRES.,CLASSEUR A LEVIER COULEUR 32X28.,,0,1
10,FBA0010,FOURNITURE ET ACCESSOIRES.,CUTTEUR GM DELI 2043.,,0,1
11,FBA0011,FOURNITURE ET ACCESSOIRES.,MINI DATEUR COLOP S120.,,0,1
12,FBA0012,FOURNITURE ET ACCESSOIRES.,DEVIDOIR DE SCOTCH 19X33.,,0,1
13,FBA0013,FOURNITURE ET ACCESSOIRES.,CALCULATRICE CASIO AX 120.,,0,1
14,FBA0014,FOURNITURE ET ACCESSOIRES.,BROSSE POUR TABLEAU NOIR ET BLANC MANCHE EN BOIS 1ER CHOIX.,,0,1
15,FBA0015,FOURNITURE ET ACCESSOIRES.,RECHARGE TRODAT 4912 BLEU.,,0,1
16,FBA0016,FOURNITURE ET ACCESSOIRES.,RECHARGE TRODAT 4913 ROUGE.,,0,1
17,FBA0017,FOURNITURE ET ACCESSOIRES.,REGLE PLATE 40CM.,,0,1
18,FBA0018,FOURNITURE ET ACCESSOIRES.,SCOTCH D'EMBALLAGE 100M MARRON FANTASTIK.,,0,1
19,FBA0019,FOURNITURE ET ACCESSOIRES.,RUBAN ADHESIF 19X33 CAMAT.,,0,1
20,FBA0020,FOURNITURE ET ACCESSOIRES.,CASIER A COURRIER EN PLASTIQUE SUPER POSABLE.,,0,1
21,FBA0021,FOURNITURE ET ACCESSOIRES.,BATON COLLE STICK UHU 8.2G.,,0,1
22,FBA0022,FOURNITURE ET ACCESSOIRES.,CD-ROM 700MB 80min-CD.,,0,1
23,FBA0023,FOURNITURE ET ACCESSOIRES.,DVD+REC 4.7 GB RECODABLE VERBATIM.,,0,1
24,FBE0001,ARTICLES ECRITURE.,POCHETTE DE 4 CRAYON HB N° 2 FC.,,0,2
25,FBE0002,ARTICLES ECRITURE.,STYLO CORRECTEUR BLANCO UHU 8 ML.,,0,2
26,FBE0003,ARTICLES ECRITURE.,FLUORESCENT JUMBO MON AMI BLEU.,,0,2
27,FBE0004,ARTICLES ECRITURE.,FLUORESCENT JUMBO MON AMI JAUNE.,,0,2
28,FBE0005,ARTICLES ECRITURE.,FLUORESCENT JUMBO MON AMI ROSE.,,0,2
29,FBE0006,ARTICLES ECRITURE.,FLUORESCENT JUMBO MON AMI ORANGE.,,0,2
30,FBE0007,ARTICLES ECRITURE.,FLUORESCENT JUMBO MON AMI VERT.,,0,2
31,FBE0008,ARTICLES ECRITURE.,GOMME BLANCHE PELIKAN AL20.,,0,2
32,FBE0009,ARTICLES ECRITURE.,MARQUEUR TABLEAU MON AMI / DRY ERASE ROUGE.,,0,2
33,FBE0010,ARTICLES ECRITURE.,MARQUEUR TABLEAU MON AMI / DRY ERASE VERT.,,0,2
34,FBE0011,ARTICLES ECRITURE.,MARQUEUR TABLEAU MON AMI / DRY ERASE NOIR.,,0,2
35,FBE0012,ARTICLES ECRITURE.,MARQUEUR TABLEAU MON AMI / DRY ERASE BLEU.,,0,2
36,FBE0013,ARTICLES ECRITURE.,MARQUEUR PERM. MON AMI.,,0,2
37,FBE0014,ARTICLES ECRITURE.,BOITE DE 50 STYLO A BILLE BIC NOIR.,,0,2
38,FBE0015,ARTICLES ECRITURE.,BOITE DE 50 STYLO A BILLE BIC ROUGE.,,0,2
39,FBE0016,ARTICLES ECRITURE.,BOITE DE 50 STYLO A BILLE BIC BLEU.,,0,2
40,FBE0017,ARTICLES ECRITURE.,BOITE DE 50 STYLO A BILLE BIC VERT.,,0,2
41,FBE0018,ARTICLES ECRITURE.,TAILLE CRAYON 2T MAPED.,,0,2
